ID,DisplayType,ItemDisplayInfoID,DefaultIconFileDataID,UiOrder
57187,14,21328,134409,0
57188,14,21712,134406,0
57189,14,21321,134403,0
57190,14,21332,134404,0
57191,14,21318,134409,0
57192,14,21330,134401,0
57193,14,21322,134402,0
57194,14,21331,134407,0
57195,14,21329,134410,0
63222,2,5661,132759,0
63223,11,1542,135274,0
63224,11,472,135145,0
63225,11,5194,133478,0
63226,11,8483,132402,0
63227,2,6048,135009,0
63228,5,6050,134582,0
63229,6,6051,132540,0
63230,6,6077,132535,0
63231,5,1882,134582,0
63232,2,3265,135005,0
63233,6,9767,132539,0
63234,5,5341,134582,0
63235,2,9906,135009,0
63236,6,7081,132538,0
63237,5,5848,134582,0
63238,2,8370,135005,0
63239,3,10455,132664,0
63240,3,10456,132665,0
63241,6,3261,132535,0
63242,3,15441,132724,0
63243,5,5654,134706,0
63244,5,7643,134589,0
63245,6,7180,132543,0
63246,3,10888,135011,0
63247,5,10006,134582,0
63248,6,10008,132539,0
63249,2,9031,135011,0
63250,6,5633,132540,0
63251,5,8003,134582,0
63252,6,9992,132538,0
63253,13,2080,134951,0
63254,5,5632,134582,0
63255,2,5447,135005,0
63256,5,8740,134582,0
63257,2,8738,133766,0
63258,11,5279,133476,0
63259,3,7777,135022,0
63260,5,9970,134592,0
63261,6,10052,132539,0
63262,3,2499,135006,0
63263,5,2308,134592,0
63264,6,10287,132539,0
63265,8,3218,132955,0
63266,5,7947,134706,0
63267,6,10872,132540,0
63268,3,10150,132725,0
63269,5,4265,134586,0
63270,6,14283,132537,0
63271,8,9785,132955,0
63272,3,6558,132631,0
63273,5,3409,134583,0
63274,6,4734,132535,0
63275,11,20190,135317,0
63276,7,8147,132610,0
63277,8,10890,132961,0
63278,8,12774,132952,0
63279,8,2951,132938,0
63280,8,11393,132940,0
63281,8,2368,132939,0
63282,11,26577,135274,0
63283,10,3865,132483,0
63284,11,20094,135346,0
63285,11,20218,135312,0
63286,11,1379,134708,0
63287,7,17007,132607,0
63288,11,19621,133482,0
63289,11,20443,135145,0
63290,11,1383,132392,0
63291,11,2743,135638,0
63292,11,1682,134708,0
63293,11,19644,133046,0
63294,11,4801,135323,0
63295,11,19699,133045,0
63296,11,19401,132405,0
63297,11,20334,135139,0
63298,6,10295,132579,0
63299,8,2186,132952,0
