"ID","FromTaxiNode","ToTaxiNode","Cost"
"6","2","4","110"
"7","4","2","110"
"8","5","2","210"
"9","2","5","210"
"12","6","2","50"
"13","2","6","50"
"15","8","6","110"
"16","6","8","110"
"17","7","6","330"
"18","6","7","330"
"20","11","10","110"
"21","10","11","110"
"22","12","2","330"
"23","2","12","330"
"24","13","11","330"
"25","11","13","330"
"26","14","6","330"
"27","6","14","330"
"30","16","6","530"
"31","6","16","530"
"32","17","11","530"
"33","11","17","530"
"34","20","18","630"
"35","18","20","630"
"36","18","21","630"
"37","21","18","630"
"38","21","11","630"
"39","11","21","630"
"40","2","19","630"
"41","19","2","630"
"42","23","22","50"
"44","25","22","110"
"45","25","23","110"
"46","22","25","110"
"47","23","25","110"
"50","28","26","330"
"51","26","28","330"
"52","29","22","210"
"53","22","29","210"
"54","30","22","430"
"55","22","30","430"
"56","32","31","430"
"57","31","32","730"
"58","33","26","330"
"59","26","33","330"
"82","18","56","630"
"101","26","27","0"
"102","27","26","0"
"121","56","18","630"
"141","37","32","530"
"161","38","22","530"
"162","22","38","530"
"163","32","37","530"
"181","26","32","630"
"182","32","26","630"
"201","39","32","630"
"222","32","39","730"
"223","40","23","730"
"224","23","40","730"
"225","41","26","730"
"226","26","41","730"
"227","42","22","730"
"228","22","42","730"
"229","43","14","330"
"230","14","43","730"
"241","34","35","0"
"242","44","23","830"
"243","23","44","830"
"244","45","2","830"
"245","2","45","830"
"249","4","5","210"
"250","4","12","330"
"252","12","4","110"
"253","46","7","0"
"254","5","4","110"
"255","4","19","630"
"256","19","4","530"
"257","5","12","330"
"258","12","5","210"
"259","12","19","630"
"260","19","12","330"
"261","12","45","830"
"262","45","12","330"
"263","6","43","730"
"264","43","6","730"
"265","8","7","330"
"266","7","8","110"
"267","8","16","530"
"268","16","8","110"
"269","7","16","530"
"270","16","7","330"
"271","7","14","330"
"272","14","7","330"
"273","16","14","330"
"274","14","16","530"
"275","16","43","730"
"276","43","16","530"
"279","25","29","210"
"280","29","25","210"
"281","25","30","430"
"282","30","25","430"
"283","25","44","830"
"284","44","25","830"
"285","47","35","0"
"286","48","25","930"
"287","25","48","930"
"289","26","49","830"
"290","22","44","830"
"291","44","22","830"
"292","50","36","0"
"293","51","50","0"
"295","50","51","0"
"298","52","49","830"
"301","35","20","0"
"302","35","24","0"
"303","54","24","0"
"304","55","25","630"
"305","58","25","110"
"306","53","48","930"
"307","48","53","1020"
"308","30","40","730"
"309","22","40","730"
"310","40","30","430"
"311","40","22","730"
"312","59","6","0"
"313","60","11","0"
"314","6","59","1020"
"315","62","27","0"
"316","63","22","0"
"317","21","56","710"
"318","56","21","630"
"319","21","17","630"
"320","17","21","630"
"321","17","13","330"
"322","13","17","530"
"323","39","31","430"
"324","31","39","730"
"325","31","41","630"
"326","41","31","430"
"327","61","23","530"
"328","23","61","530"
"329","64","26","730"
"330","26","64","730"
"332","64","65","730"
"333","61","25","530"
"334","25","61","530"
"335","23","55","630"
"336","55","23","630"
"338","23","48","830"
"339","52","65","730"
"341","48","23","930"
"343","56","20","630"
"344","20","56","630"
"345","22","55","630"
"346","66","14","330"
"347","14","66","830"
"348","55","22","630"
"349","43","67","1020"
"350","58","61","530"
"351","61","58","330"
"352","67","43","730"
"353","42","25","730"
"354","25","58","330"
"355","25","42","730"
"356","38","29","210"
"357","11","68","1020"
"358","29","38","530"
"359","68","11","1020"
"360","25","55","630"
"361","20","21","630"
"362","21","20","530"
"363","53","69","830"
"364","69","48","930"
"365","48","69","830"
"366","69","53","1020"
"367","49","52","1020"
"368","49","26","830"
"369","65","26","730"
"371","65","52","1020"
"372","65","64","730"
"373","37","41","730"
"374","41","37","730"
"375","42","38","730"
"376","38","42","730"
"377","70","21","830"
"378","21","70","830"
"379","70","56","830"
"380","56","70","830"
"381","71","45","830"
"382","45","71","830"
"383","11","60","1020"
"384","37","26","530"
"385","26","37","530"
"386","26","65","730"
"387","22","23","50"
"388","40","55","630"
"389","40","42","630"
"390","55","40","730"
"391","42","40","630"
"392","40","25","730"
"393","25","40","730"
"394","39","73","1020"
"395","40","72","1020"
"398","53","23","1020"
"399","23","53","1020"
"400","44","48","930"
"401","48","44","830"
"402","74","6","830"
"404","6","74","830"
"406","21","75","830"
"407","75","21","630"
"408","70","75","830"
"409","75","70","830"
"410","71","74","830"
"411","74","71","830"
"412","76","13","330"
"413","13","76","730"
"414","11","76","730"
"415","76","11","730"
"416","77","25","110"
"417","25","77","110"
"419","22","77","110"
"420","77","22","110"
"421","77","30","430"
"422","30","77","430"
"423","72","40","730"
"424","73","39","730"
"425","71","2","830"
"427","2","71","830"
"428","6","66","1020"
"429","66","6","1020"
"431","66","67","1020"
"432","67","66","1020"
"436","78","24","0"
"437","67","6","1020"
"438","6","67","1020"
"439","36","24","0"
"440","10","13","330"
"441","13","10","110"
"443","28","33","330"
"444","33","28","330"
"445","32","64","730"
"446","64","32","630"
"447","64","52","1030"
"448","52","64","730"
"449","72","42","730"
"450","42","72","1030"
"451","73","41","730"
"452","79","39","730"
"453","79","40","730"
"454","79","72","1030"
"455","79","73","1030"
"456","72","79","830"
"457","73","79","830"
"458","39","79","830"
"459","40","79","830"
"460","80","32","630"
"461","80","25","110"
"462","25","80","110"
"464","32","80","110"
"465","64","80","110"
"466","80","64","730"
"467","28","64","730"
"468","64","28","330"
"469","5","71","830"
"470","71","5","210"
"471","41","73","1030"
"472","81","24","0"
"473","76","68","1030"
"474","68","76","730"
"475","43","66","1020"
"476","66","43","730"
"477","37","33","330"
"478","33","37","530"
"479","49","65","730"
"480","65","49","1020"
"481","61","44","830"
"482","44","61","530"
"484","17","76","730"
"485","76","17","530"
"486","42","30","430"
"487","30","42","730"
"494","84","85","0"
"495","84","86","0"
"496","84","87","0"
"499","53","44","830"
"500","44","53","1020"
