ID,Category,RecoveryTime,CategoryRecoveryTime
17,56,0,4000
43,0,600000,0
45,32,0,0
47,44,0,300000
56,32,0,0
66,1162,0,300000
68,1,10000,0
71,47,0,1000
72,88,0,12000
89,0,30000,0
91,65,0,30000
100,44,0,15000
101,32,0,5000
110,0,60000,0
111,0,60000,0
112,0,60000,0
120,50,0,10000
122,35,0,25000
134,21,0,15000
184,21,0,15000
246,51,0,10000
260,1,0,0
271,0,0,120000
355,82,0,10000
408,270,0,20000
421,85,0,6000
430,59,0,60000
431,59,0,60000
432,59,0,60000
433,11,0,60000
434,11,0,60000
435,11,0,60000
436,4,0,60000
437,4,0,60000
438,4,0,60000
439,4,0,10000
440,4,0,10000
441,4,0,10000
450,0,30000,0
454,0,30000,0
457,22,0,10000
498,37,0,300000
543,56,0,30000
555,23,0,600000
556,511,0,900000
568,1152,0,0
586,82,0,30000
592,56,0,4000
600,56,0,4000
603,1179,0,60000
633,56,0,3600000
642,37,0,300000
676,109,0,60000
692,32,0,60000
694,40,0,120000
724,1145,0,360000
740,46,0,600000
742,0,600000,0
745,34,0,0
769,85,0,0
779,85,0,0
780,85,0,0
781,82,0,5000
800,1152,0,2000
818,97,0,300000
823,0,300000,0
829,0,300000,0
830,0,300000,0
853,32,0,60000
865,35,0,25000
871,132,0,1800000
879,19,0,15000
930,85,0,6000
932,62,0,360000
974,1195,0,0
1020,37,0,300000
1022,20,0,300000
1044,0,25000,0
1050,35,600000,6000
1122,731,0,3600000
1127,11,0,60000
1129,11,0,60000
1131,11,0,60000
1133,59,0,60000
1135,59,0,60000
1137,59,0,60000
1161,0,600000,0
1495,65,0,5000
1499,411,0,30000
1510,49,0,60000
1513,33,0,30000
1516,0,60000,0
1535,35,0,15000
1543,0,20000,0
1664,65,0,30000
1665,65,0,30000
1671,88,0,12000
1672,88,0,12000
1680,891,0,10000
1719,132,0,1800000
1725,22,0,30000
1742,82,0,5000
1753,82,0,5000
1754,82,0,5000
1755,82,0,5000
1756,82,0,5000
1760,40,0,0
1766,88,0,10000
1767,88,0,10000
1768,88,0,10000
1769,88,0,10000
1776,33,0,10000
1777,33,0,10000
1784,38,0,10000
1785,38,0,10000
1786,38,0,10000
1787,38,0,10000
1795,74,0,300000
1796,74,0,300000
1797,74,0,300000
1798,74,0,300000
1850,44,0,300000
1856,39,0,300000
1857,39,0,300000
1940,24,0,0
1953,44,0,15000
1966,82,0,10000
2023,4,0,60000
2024,4,0,10000
2062,23,1200000,120000
2094,1187,180000,20000
2136,19,0,8000
2137,19,0,8000
2138,19,0,8000
2139,88,0,24000
2370,4,0,60000
2457,47,0,1000
2458,47,0,1000
2484,0,15000,0
2565,0,5000,0
2597,4,0,60000
2598,4,0,60000
2599,4,0,60000
2600,4,0,60000
2601,21,0,20000
2602,21,0,15000
2606,19,0,6000
2607,19,0,6000
2608,19,0,6000
2609,19,0,6000
2610,19,0,6000
2629,40,0,10000
2630,40,0,10000
2639,11,0,60000
2643,85,0,10000
2647,32,0,60000
2649,82,0,5000
