ItemId,SpellId,SlotIndex
117,433,0
118,439,0
159,430,0
414,434,0
422,435,0
724,5005,0
728,2554,0
733,435,0
737,3591,0
744,12257,0
761,433,0
787,433,0
823,458,0
833,17712,0
835,8312,0
836,1500,0
842,459,0
858,440,0
875,458,0
900,469,0
901,468,0
902,471,0
903,472,0
929,441,0
940,18820,0
941,47,0
951,473,0
954,8118,0
955,8096,0
961,433,0
966,476,0
967,3723,0
968,3073,0
973,483,0
974,484,0
975,485,0
976,486,0
980,490,0
985,493,0
986,494,0
989,497,0
992,502,0
994,506,0
996,133,0
1002,515,0
1004,520,0
1017,5006,0
1029,3731,0
1030,533,0
1031,534,0
1032,3077,0
1033,536,0
1034,537,0
1035,3217,0
1036,3210,0
1037,531,0
1038,538,0
1041,578,0
1042,581,0
1043,580,0
1044,579,0
1048,557,0
1049,558,0
1052,560,0
1053,561,0
1057,565,0
1058,566,0
1061,569,0
1063,3211,0
1072,438,0
1082,5006,0
1084,3070,0
1085,1150,0
1086,609,0
1087,610,0
1088,3071,0
1089,540,0
1090,3215,0
1091,612,0
1092,613,0
1093,3364,0
1095,615,0
1096,616,0
1099,619,0
1100,620,0
1101,890,0
1102,622,0
1105,860,0
1108,3072,0
1109,627,0
1111,726,0
1112,3079,0
1113,434,0
1114,435,0
1119,435,0
1122,468,0
1123,472,0
1124,471,0
1125,469,0
1127,2120,0
1132,580,0
1133,581,0
1134,459,0
1136,735,0
1138,3697,0
1139,4993,0
1141,656,0
1144,659,0
1146,7330,0
1149,662,0
1150,3725,0
1151,664,0
1165,7291,0
1176,2006,0
1177,673,0
1178,1940,0
1179,431,0
1180,8099,0
1181,8112,0
1184,547,0
1186,682,0
1187,8176,0
1191,5917,0
1205,432,0
1224,1017,0
1228,650,0
1229,719,0
1231,721,0
1232,722,0
1238,1045,0
1239,496,0
1243,732,0
1244,733,0
1245,734,0
1246,3733,0
1250,3099,0
1251,746,0
1253,2352,0
1258,133,0
1262,5257,0
1267,431,0
1268,432,0
1315,18831,0
1321,434,0
1322,7396,0
1326,434,0
1328,784,0
1332,3212,0
1334,1059,0
1335,3208,0
1339,790,0
1341,5307,0
1350,805,0
1352,4960,0
1399,133,0
1400,65,0
1401,833,0
1402,143,0
1403,834,0
1404,835,0
1434,13424,0
1444,707,0
1447,18826,0
1450,806,0
1472,835,0
1477,8116,0
1478,8094,0
1487,1127,0
1533,510,0
1534,1027,0
1536,3694,0
1544,1184,0
1554,838,0
1559,6632,0
1567,858,0
1568,766,0
1571,866,0
1574,874,0
1588,900,0
1589,902,0
1591,906,0
1597,3087,0
1603,3218,0
1612,706,0
1619,3088,0
1622,955,0
1641,971,0
1645,1135,0
1648,983,0
1649,1128,0
1651,3064,0
1655,991,0
1657,3216,0
1658,993,0
1676,1091,0
1681,727,0
1700,365,0
1703,1138,0
1704,1139,0
1707,1127,0
1708,1133,0
1710,2024,0
1711,8100,0
1712,8113,0
1713,14053,0
1851,1152,0
1854,1139,0
1877,3062,0
1878,3213,0
1880,3209,0
1882,573,0
1886,539,0
1912,1459,0
1914,403,0
1918,2352,0
1933,8736,0
1970,8070,0
1973,16739,0
1995,370,0
2012,689,0
2070,433,0
2071,430,0
2091,1090,0
2136,432,0
2287,434,0
2288,431,0
2289,8119,0
2290,8097,0
2304,2831,0
2313,2832,0
2363,3366,0
2404,2171,0
2405,2172,0
2406,2173,0
2407,2174,0
2408,2175,0
2409,2176,0
2411,470,0
2412,469,0
2413,471,0
2414,472,0
2415,468,0
2454,2367,0
2455,437,0
2456,2370,0
2457,2374,0
2458,2378,0
2459,2379,0
2461,2381,0
2462,440,0
2478,437,0
2553,2342,0
2554,2363,0
2555,2364,0
2556,2365,0
2581,1159,0
2593,11008,0
2594,11009,0
2595,11009,0
2596,11008,0
2598,2408,0
2599,2409,0
2600,2410,0
2601,2411,0
2602,2412,0
2633,3592,0
2679,433,0
2680,5004,0
2681,433,0
2682,2639,0
2683,5005,0
2684,5005,0
2685,435,0
2686,11007,0
2687,5005,0
2697,2553,0
2698,2555,0
2699,2556,0
2700,2557,0
2701,2558,0
2723,11007,0
2761,2571,0
2762,898,0
2789,2352,0
2790,2352,0
2791,2352,0
2792,2352,0
2802,13744,0
2803,905,0
2804,505,0
2808,8913,0
2820,14530,0
2826,554,0
2862,2828,0
2863,2829,0
2871,2830,0
2881,2760,0
2882,3351,0
2883,3302,0
2888,5004,0
2889,2796,0
2892,2823,0
2893,2824,0
2894,11007,0
2896,2826,0
2927,2827,0
2948,1152,0
3012,8115,0
3013,8091,0
3015,109,0
3087,29236,0
3088,3063,0
3089,846,0
3090,478,0
3091,3065,0
3092,3682,0
3093,872,0
3094,3074,0
3095,3075,0
3096,3141,0
3097,3696,0
3098,487,0
3099,844,0
3100,3068,0
3101,6644,0
3102,3066,0
3112,631,0
3113,3082,0
3114,3086,0
3115,870,0
3116,3083,0
3118,3085,0
3119,651,0
3120,985,0
3121,3745,0
3122,3084,0
3123,3080,0
3124,1007,0
3125,3746,0
3126,3091,0
3127,3092,0
3129,3089,0
3130,914,0
3132,924,0
3133,492,0
3134,729,0
