EnchantId,ItemVisual
1,61
2,33
3,32
4,32
5,32
6,61
7,26
8,26
9,26
10,26
11,26
12,33
13,28
14,28
22,26
23,26
25,1
26,27
29,61
35,26
40,28
42,26
124,32
249,31
283,81
284,81
285,32
303,32
323,26
324,26
325,26
503,61
504,61
523,32
524,33
525,81
543,32
563,81
564,81
603,26
623,26
624,26
625,26
626,26
627,26
643,26
683,61
703,26
704,26
705,26
706,26
803,25
805,2
853,31
854,31
864,2
912,25
943,42
963,2
1003,26
1023,107
1663,61
1664,61
1665,32
1666,32
1667,33
1668,33
1669,81
1683,32
1723,26
1743,105
1763,33
1783,81
1803,32
1823,32
1824,32
1825,32
1863,107
1864,107
1865,107
1866,107
1890,29
1894,126
1895,2
1896,24
1897,2
1898,107
1899,161
1900,103
1901,29
1903,29
1904,29
2343,151
2504,107
2505,103
2506,28
2563,125
2564,125
2567,29
2568,29
2630,26
2631,107
2632,61
2633,61
2634,32
2635,33
2636,81
2637,32
2638,81
2639,81
2640,26
2641,26
2642,26
2643,26
2644,26
2645,32
2646,125
2666,2
2667,156
2668,106
2669,159
2670,125
2671,158
2672,157
2673,155
2674,160
2675,159
3014,81
3018,61
3019,61
3020,61
3021,61
3022,61
3023,61
3024,61
3025,61
3026,61
3027,61
3028,61
3029,61
3030,61
3031,61
3032,61
3033,61
3034,61
3035,61
3036,61
3037,61
3038,61
3039,61
3040,61
3041,61
3042,61
3043,61
3044,61
3093,104
3102,26
3222,125
3225,165
3265,42
3266,31
3273,166
