Entry,DisplayId
25,1542
35,472
36,5194
37,14029
38,9891
39,9892
40,10141
41,4553
42,4562
43,10272
44,9937
45,3265
46,4528
47,9915
48,9913
49,9906
50,4535
51,9946
52,9945
53,9944
54,4541
55,9929
56,12647
57,12645
58,4499
59,3261
60,16891
61,16953
77,2645
79,16847
80,16854
85,16883
86,4525
87,261
88,374
89,7848
90,4519
91,368
92,249
93,369
94,4522
95,242
97,12662
98,4524
99,257
100,372
101,373
102,4523
103,5901
104,370
105,371
113,365
114,245
115,4517
117,2473
118,15710
119,5702
120,10006
121,10008
122,4538
123,383
124,3268
125,3269
126,4543
127,9996
128,396
129,9977
130,4572
131,4542
132,295
133,7912
134,387
135,386
136,311
137,4540
138,9346
139,9988
140,9992
141,4507
143,2080
146,4544
147,9975
148,9976
149,4569
150,392
151,393
152,4570
153,10050
154,10058
155,4571
156,394
157,395
159,18084
182,7038
184,362
193,16579
194,16580
195,16582
200,16777
201,16778
202,16780
203,16779
209,17140
210,14444
236,14278
237,14476
238,14474
239,14475
285,16101
286,10400
287,12745
414,21904
422,6352
527,7090
537,6629
555,11206
556,6625
647,20190
710,16936
711,16581
714,14445
718,6986
719,16970
720,2368
723,7369
724,6385
725,6671
727,26577
728,1102
729,7407
730,7394
731,8802
732,7395
733,6428
734,7093
735,7093
737,926
738,1297
739,11994
740,11998
741,7391
742,928
743,929
744,18059
745,1102
746,3865
748,1102
750,1116
751,1515
752,1272
753,20094
754,20218
755,6677
756,6264
761,1208
763,17007
765,18088
766,19621
767,20443
768,5012
769,6348
770,6630
771,1225
772,7066
773,7137
774,7353
776,6452
777,959
778,6259
779,7714
780,6628
781,19644
782,1329
783,6687
784,1438
785,7341
786,7391
787,24697
788,5750
789,19699
790,19401
791,20334
792,16855
793,14449
794,14450
795,14154
796,22973
797,17068
798,22972
799,2106
804,2588
805,2586
806,2585
807,7356
808,7353
809,20033
810,19726
811,19137
812,20257
813,6618
814,18084
816,6472
818,7413
820,6470
821,17102
823,7014
826,19271
827,3498
828,2584
829,1272
832,6847
833,22978
835,1007
836,1007
837,14466
838,14468
839,14467
840,16821
841,1270
842,7015
843,14470
844,2101
845,9640
846,14472
847,1019
848,697
849,6869
850,6871
851,22077
852,8287
853,22102
854,22147
855,1281
856,1025
857,4056
858,15711
859,9880
860,3443
862,18397
863,19213
864,26579
865,5212
866,20357
867,17180
868,19713
869,5163
870,33458
871,19235
872,19242
873,20298
875,6423
876,1680
877,7099
878,9200
880,20382
883,7088
884,6368
885,14036
886,20093
887,6680
888,17182
889,3022
890,20386
892,16950
893,959
894,6642
895,7103
896,959
897,17011
898,959
899,6459
900,7014
901,7014
902,7014
903,7014
905,1057
906,1058
907,6480
908,6545
909,6557
910,3024
911,28628
913,20170
914,2829
915,1272
916,7589
917,1080
918,1283
920,19703
921,7588
922,22097
923,22080
924,22131
925,4351
926,22108
927,22106
928,22151
929,15712
930,1283
931,1183
932,6430
933,1282
934,19405
935,8274
936,5215
937,20329
938,7601
939,7588
940,16676
941,6513
942,9835
943,20256
944,20253
945,859
948,859
951,1093
954,3331
955,2616
956,7084
957,7286
958,7084
960,7084
961,6387
962,6385
964,9744
965,981
966,1103
967,1103
968,1103
973,1103
974,1103
975,1103
976,1103
980,1103
981,1399
983,4878
985,1103
986,1103
989,1103
992,1103
994,1103
996,3453
997,859
1002,1103
1004,1103
1006,224
1008,1550
1009,8583
1010,20440
1011,19273
1013,1236
1014,1183
1015,6348
1016,6619
1017,1116
1018,1121
1019,1272
1020,13552
1021,13551
1022,15299
1023,15297
1024,15304
1025,15302
1026,15305
1027,15294
1028,13275
1029,5563
1030,5563
1031,5563
1032,5563
1033,5563
1034,5563
1035,5563
1036,5563
1037,5563
1038,5563
1041,16208
1042,7015
1043,7015
1044,7015
1046,6596
1047,6595
1048,5563
1049,5563
1052,5563
1053,5563
1057,5563
1058,5563
1061,5563
1063,5563
1072,18080
1074,6619
1075,7236
1076,6012
1077,9836
1078,811
1080,25475
1081,7345
1082,6406
1083,7133
1084,1143
1085,1143
1086,1143
1087,1143
1088,1143
1089,1143
1090,1143
1091,1143
1092,1143
1093,1143
1095,1143
1096,1143
1099,1143
1100,1143
1101,1143
1102,1143
1105,1143
1108,1143
1109,1143
1111,1143
1112,1143
1113,6413
1114,6343
1115,7097
1116,6011
1117,7453
1119,18077
1121,703
1122,6494
1123,6494
1124,6494
1125,6494
1127,1816
1128,1150
1129,7129
1130,1288
1131,9557
1132,16208
1133,16207
1134,16207
1136,1155
1138,1155
1139,1155
1141,1155
1144,1155
1146,1155
1149,1155
1150,1155
1151,1155
1154,6833
1155,20327
1156,9839
1157,5066
1158,19643
1159,4994
1161,1544
1162,13219
1163,13218
1164,634
1165,6422
1166,2208
1167,18506
1168,30993
1169,18816
1170,8647
1171,12707
1172,12313
1173,6777
1174,6956
1175,6659
1176,6412
1177,6400
1178,6336
1179,18090
1180,1093
1181,2616
1182,6852
1183,16927
1184,6510
1186,6503
1187,6415
1189,963
1190,15120
1191,1816
1192,13277
1193,27782
1194,22093
1195,7495
1196,22114
1197,5226
1198,22095
1199,6014
1200,18663
1201,2161
1202,2329
1203,2594
1204,1644
1205,18078
1206,7393
1207,5223
1208,2616
1210,7401
1211,14260
1212,2637
1213,3613
1214,19625
1215,16942
1216,9559
1217,7280
1218,5527
1219,20122
1220,19232
1221,568
1222,6002
1224,1246
1228,1246
1229,1246
1231,1246
1232,1246
1238,1246
1239,1246
1243,1246
1244,1246
1245,1246
1246,1246
1250,1246
1251,11907
1252,2616
1253,6707
1254,24380
1255,1262
1256,7078
1257,1656
1258,6511
1259,30392
1260,1310
1261,6009
1262,7923
1263,22215
1264,5530
1265,20156
1266,4909
1267,6359
1268,2357
1269,6367
1270,23113
1272,3396
1273,12723
1274,6661
1275,1019
1276,2210
1279,13255
1280,15298
1281,3337
1282,15324
1283,811
1284,7914
1287,6447
1288,4826
1292,8466
1293,3034
1294,3035
1296,5195
1297,19035
1298,6305
1299,16717
1300,20391
1302,17174
1303,6871
1304,16818
1306,11387
1307,811
1309,12334
1310,16971
1311,8513
1312,8576
1313,6458
1314,17179
1315,6524
1317,20377
1318,19290
1319,14437
1321,6335
1322,6373
1323,1301
1324,7196
1325,6524
1326,2661
1327,3093
1328,1317
1332,1317
1334,1317
1335,1317
1339,1317
1341,1317
1349,7918
1350,6358
1351,16897
1352,7013
1353,3031
1354,8776
1355,23014
1356,924
1357,1322
1358,7593
1359,6751
1360,7000
1361,7594
1362,7595
1363,13223
1364,14339
1366,14338
1367,14354
1368,17184
1369,14335
1370,14336
1371,5495
1372,23054
1374,16659
1376,23090
1377,16657
1378,16656
1379,5494
1380,12426
1381,3023
1382,19636
1383,8495
1384,1546
1385,8593
1386,19247
1387,20087
1388,20450
1389,8575
1391,20410
1392,3642
1394,5204
1395,9924
1396,3260
1397,3587
1398,1357
1399,6395
1400,6418
1401,18088
1402,6334
1403,6499
1404,6499
1405,5540
1406,5638
1407,3032
1408,3033
1409,3032
1410,3032
1411,20442
1412,20074
1413,1547
1414,19525
1415,19613
1416,8495
1417,8501
1418,14344
1419,14353
1420,4471
1421,23083
1422,14345
1423,14346
1424,7836
1425,14190
1427,16798
1429,23130
1430,16797
1431,16796
1432,2539
1433,16795
1434,6383
1435,2960
1436,17144
1438,25943
1440,8570
1443,6522
1444,6504
