ID,ItemID,ItemAppearanceModifierID,ItemAppearanceID,OrderIndex,TransmogSourceTypeEnum
146735,2101,0,57187,0,0
146736,2662,0,57188,0,0
146737,3573,0,57189,0,0
146738,3605,0,57190,0,0
146739,5439,0,57191,0,0
146740,7278,0,57192,0,0
146741,7371,0,57193,0,0
146742,8217,0,57194,0,0
146743,11362,0,57195,0,0
146744,18714,0,57188,0,0
146745,19319,0,57188,0,0
156038,17,0,63222,0,0
156039,25,0,63223,0,0
156040,35,0,63224,0,0
156041,36,0,63225,0,0
156042,37,0,63226,0,0
156043,38,0,63227,0,0
156044,39,0,63228,0,0
156045,40,0,63229,0,0
156046,43,0,63230,0,0
156047,44,0,63231,0,0
156048,45,0,63232,0,0
156049,47,0,63233,0,0
156050,48,0,63234,0,0
156051,49,0,63235,0,0
156052,51,0,63236,0,0
156053,52,0,63237,0,0
156054,53,0,63238,0,0
156055,55,0,63230,0,0
156056,56,0,63239,0,0
156057,57,0,63240,0,0
156058,59,0,63241,0,0
156059,60,0,63242,0,0
156060,61,0,63243,0,0
156061,79,0,63244,0,0
156062,80,0,63245,0,0
156063,85,0,63246,0,0
156064,120,0,63247,0,0
156065,121,0,63248,0,0
156066,127,0,63249,0,0
156067,129,0,63250,0,0
156068,139,0,63251,0,0
156069,140,0,63252,0,0
156070,143,0,63253,0,0
156071,147,0,63254,0,0
156072,148,0,63255,0,0
156073,153,0,63256,0,0
156074,154,0,63257,0,0
156075,192,0,63258,0,0
156076,193,0,63259,0,0
156077,194,0,63260,0,0
156078,195,0,63261,0,0
156079,200,0,63262,0,0
156080,201,0,63263,0,0
156081,202,0,63264,0,0
156082,203,0,63265,0,0
156083,209,0,63266,0,0
156084,210,0,63267,0,0
156085,236,0,63268,0,0
156086,237,0,63269,0,0
156087,238,0,63270,0,0
156088,239,0,63271,0,0
156089,285,0,63272,0,0
156090,286,0,63273,0,0
156091,287,0,63274,0,0
156092,647,0,63275,0,0
156093,710,0,63276,0,0
156094,711,0,63277,0,0
156095,714,0,63278,0,0
156096,718,0,63279,0,0
156097,719,0,63280,0,0
156098,720,0,63281,0,0
156099,727,0,63282,0,0
156100,746,0,63283,0,0
156101,753,0,63284,0,0
156102,754,0,63285,0,0
156103,756,0,63286,0,0
156104,763,0,63287,0,0
156105,766,0,63288,0,0
156106,767,0,63289,0,0
156107,768,0,63290,0,0
156108,776,0,63291,0,0
156109,778,0,63292,0,0
156110,781,0,63293,0,0
156111,788,0,63294,0,0
156112,789,0,63295,0,0
156113,790,0,63296,0,0
156114,791,0,63297,0,0
156115,792,0,63298,0,0
156116,793,0,63299,0,0
156117,794,0,63300,0,0
156118,795,0,63301,0,0
156119,796,0,63302,0,0
156120,797,0,63303,0,0
156121,798,0,63304,0,0
156122,799,0,63305,0,0
156123,809,0,63306,0,0
156124,810,0,63307,0,0
156125,811,0,63308,0,0
156126,812,0,63309,0,0
156127,816,0,63310,0,0
156128,820,0,63311,0,0
156129,821,0,63312,0,0
156130,826,0,63313,0,0
156131,827,0,63314,0,0
156132,832,0,63315,0,0
156133,837,0,63316,0,0
156134,838,0,63317,0,0
156135,839,0,63318,0,0
156136,840,0,63319,0,0
156137,843,0,63320,0,0
156138,844,0,63321,0,0
156139,845,0,63322,0,0
156140,846,0,63323,0,0
156141,847,0,63324,0,0
156142,848,0,63325,0,0
156143,849,0,63326,0,0
156144,850,0,63327,0,0
156145,851,0,63328,0,0
156146,852,0,63329,0,0
156147,853,0,63330,0,0
156148,854,0,63331,0,0
156149,859,0,63332,0,0
