SpellId,SpellXSpellVisualId
7,236655
10,236656
11,236657
13,236664
14,236613
16,236756
17,242477
18,236757
25,236687
27,236688
31,236789
33,236774
34,236665
35,236666
43,236667
45,236668
47,236669
49,236670
53,236721
56,236827
59,236828
60,236829
61,236830
65,236831
66,236832
67,236632
71,236644
72,236966
78,236771
89,236708
91,240777
96,236720
99,236654
100,236773
101,236689
110,236728
112,236729
113,236652
116,236663
118,244814
120,242838
122,236777
126,236634
128,236635
130,236636
131,242285
132,236637
133,236677
134,236584
136,236624
139,236614
142,236615
143,236678
145,236679
168,241363
172,236600
184,236602
205,237109
228,236645
246,236646
261,236658
265,237110
269,237111
271,237112
284,237026
285,236782
302,236783
324,237091
325,241977
331,237092
332,237093
339,236743
348,237005
355,237006
370,237008
379,237009
403,236603
408,236760
409,236761
410,236762
411,236763
421,236764
427,236970
428,236599
430,236924
431,236925
432,236926
433,236680
434,241636
435,236927
436,242509
437,236759
438,236784
439,236785
440,236786
441,236787
442,236788
443,236740
444,236741
445,236742
446,236616
447,236617
453,236775
455,236776
457,236769
458,236755
459,236594
461,236588
463,236609
465,236710
467,236659
468,236660
470,236810
471,236811
472,236812
474,237051
475,237070
476,237071
477,237072
478,237073
479,237074
481,236610
483,236611
484,236795
485,236590
486,236591
487,236592
488,236593
490,236587
491,236690
493,236701
494,236702
495,236703
496,236629
497,236630
498,236631
499,236724
502,237028
504,236778
506,236779
507,236780
509,236739
512,236625
513,236626
515,242286
517,242072
519,236627
520,236638
521,236767
526,236768
527,236813
528,236814
529,236928
531,236929
532,236930
533,236931
534,236932
535,236589
536,236671
537,236672
538,236790
539,236579
540,236580
541,236581
543,236583
546,236682
547,236683
548,236684
550,236750
552,236751
553,236674
555,236676
556,236618
557,236619
558,236620
559,236621
560,236622
561,236623
562,236858
563,236859
565,236838
566,236839
567,237014
568,237015
569,236640
570,236641
571,236642
573,236643
574,236946
575,236606
577,236608
578,236692
579,236693
580,236694
581,236648
585,236649
586,236650
587,236651
588,236997
589,236715
591,236738
592,244764
594,236752
595,242415
596,236749
597,236604
598,236605
600,241697
602,236791
603,236726
604,236944
605,236945
606,236792
607,241468
608,236793
609,236794
610,236686
611,236696
612,236697
613,236716
614,236717
615,236718
616,236719
618,236731
619,236639
620,237047
622,237050
624,236712
625,236713
626,236714
627,236725
628,236947
633,236598
635,236699
639,236765
642,236704
643,241744
647,236868
650,236844
651,237292
652,237293
653,237294
654,237310
655,237311
656,237312
657,236905
659,236883
661,236900
662,242681
663,236901
664,236902
665,242750
673,237001
676,237010
685,237101
686,236865
687,236879
688,236653
689,236736
690,236989
691,236990
692,236991
693,236817
694,242769
695,236857
696,236823
697,236840
698,236841
699,237494
700,236881
701,236882
702,243557
703,236918
704,242003
705,243032
706,241571
707,236866
709,236867
710,242305
711,236842
712,237016
713,237085
714,237086
719,237099
720,237100
721,236745
722,236746
724,236748
725,236948
726,236949
727,236950
729,236952
730,236953
731,237011
732,236886
733,237793
734,237794
735,237492
736,237493
739,237800
740,237495
741,237496
742,237497
744,237498
745,236913
746,236914
748,237018
749,237019
751,237034
752,237035
753,237036
755,237037
759,237020
766,237062
768,237313
769,237329
770,237330
772,236888
774,237241
775,237589
776,237609
778,237610
779,236843
780,236861
781,236862
782,236935
783,236878
784,236895
785,236896
786,236897
788,241985
789,236880
790,236734
791,236744
792,236906
793,236884
795,236885
796,236919
797,236920
798,236921
799,236922
802,236939
804,236869
806,236904
818,236860
822,236876
823,236850
829,237069
830,236903
833,236877
834,237017
835,237103
836,236955
837,236956
838,236957
839,236959
842,236978
844,236979
845,236980
846,236890
848,237332
849,237333
850,236818
851,241406
852,236819
853,236820
854,236821
855,236822
857,236981
858,236982
860,236983
862,236985
863,237044
864,237045
865,237046
866,236910
867,236911
870,237022
871,237023
872,237041
874,236845
877,236873
879,237012
880,236864
882,237003
883,237004
885,237348
886,237349
890,237242
894,237244
895,237245
897,237263
898,237264
900,237677
902,237697
905,237087
906,237088
908,237089
910,237104
913,236801
914,236875
915,236889
918,237123
920,237124
921,236796
922,236797
924,236847
926,236848
928,236849
930,236863
931,236798
932,236892
935,236916
936,236917
939,237067
940,237068
943,236936
944,236937
945,241717
946,236938
950,237620
952,236962
956,237367
959,237266
960,236909
962,236835
964,237064
967,237083
968,237778
970,237799
971,237140
973,237542
976,237563
977,237587
979,237551
980,241625
981,237570
982,236806
983,236807
984,236808
985,236809
988,237453
989,237454
990,237455
991,237456
992,241192
993,241131
994,237789
996,237791
997,237792
999,237745
1002,236940
1003,236941
1004,236942
1005,236943
1006,241117
1007,241118
1008,236998
1010,236999
1011,236803
1012,237291
1013,237350
1014,237351
1015,237366
1017,237105
1020,237108
1021,237331
1022,237774
1023,236912
1025,236852
1026,236853
1027,236854
1029,236856
1031,237030
1032,241271
1033,237031
1035,237033
1037,236898
1038,237776
1039,236894
1042,236907
1043,236908
1044,237084
1045,237268
1049,237288
