DisplayID,FileDataID
222,132535
224,133345
229,132490
230,132535
233,132535
241,132490
242,132535
244,132490
245,132535
248,132490
249,132535
252,132490
253,132535
256,132490
257,132535
261,132535
267,132535
275,132490
276,132535
281,132490
282,132535
292,134719
293,132490
295,132536
297,132490
301,132490
302,132535
308,133943
310,132490
311,132535
314,132490
317,132490
318,132535
326,132490
329,132490
332,132490
336,132490
337,132535
362,133622
365,134582
368,134582
369,135005
370,134582
371,135005
372,134582
373,135005
374,134582
376,134582
378,134582
380,134582
381,135005
383,135005
384,134582
385,135005
386,134582
387,135005
388,134582
389,135005
390,134582
391,135005
392,134582
393,135005
394,134582
395,135005
396,134582
397,135005
398,134582
412,134582
453,132392
472,135145
510,132938
555,134304
557,133748
563,135278
568,134305
609,133280
624,134321
634,134940
679,135274
683,134582
684,132760
685,134583
687,134583
691,134582
697,134583
703,132592
704,134706
729,135278
782,132395
811,134939
825,132537
845,132543
859,135274
860,133476
861,133476
862,135274
869,135129
878,135139
883,135143
896,133343
898,133435
918,133741
920,133884
924,134939
925,133622
926,134712
928,133749
929,135437
932,132483
940,134297
941,134412
942,133436
944,134301
945,132543
946,134414
954,132624
956,134229
959,134298
961,134336
963,133345
964,133437
972,132939
976,132938
977,132624
981,133623
983,134720
989,132760
992,134937
993,133948
994,133949
1006,133344
1007,134325
1011,132939
1012,133277
1013,134938
1017,132939
1019,132624
1020,132535
1022,133041
1025,133626
1026,134720
1028,133344
1032,135275
1037,134944
1040,134232
1041,133952
1045,135279
1046,133343
1054,133565
1057,135039
1058,135039
1060,135033
1063,132938
1068,135033
1069,134937
1083,133040
1087,133947
1090,135141
1092,135144
1093,134943
1095,132381
1096,134940
1097,134941
1098,135005
1102,134939
1103,133739
1107,132490
1115,133476
1116,133972
1117,133970
1118,133972
1119,133750
1120,133750
1121,135274
1123,133072
1124,133072
1126,133071
1127,133071
1128,133071
1129,133071
1130,133071
1131,133071
1132,133070
1134,133742
1136,134537
1137,134537
1139,133437
1141,134321
1143,133741
1144,133950
1145,133968
1148,133279
