ID,ContinentID,X,Y,Z
1,0,-8888,0,94
2,0,-8840,489,109
3,0,16391,16341,69
4,0,-10628,1036,34
5,0,-9429,-2231,68
6,0,-4821,-1155,502
7,0,-3792,-783,9
8,0,-5421,-2930,347
9,0,-14271,299,31
10,0,478,1536,131
11,0,1568,267,-43
12,0,-10515,-1261,41
13,0,0,-859,58
14,0,-711,-515,26
15,0,2253,-5344,83
16,0,-1240,-2515,22
17,0,-916,-3496,70
18,0,-14444,509,26
19,0,-14473,464,36
20,0,-12414,146,3
21,0,-6633,-2180,244
22,1,-1197,29,176
23,1,1677,-4315,61
24,0,-6666,-2222,278
25,1,-441,-2596,96
26,1,6341,557,16
27,1,8643,841,23
28,1,2827,-289,107
29,1,966,1040,104
30,1,-5407,-2414,90
31,1,-4491,-775,-39
32,1,-3825,-4516,10
33,1,2681,1461,232
34,1,-1965,-5824,-1
35,1,1320,-4649,21
36,0,-8644,433,59
37,1,139,1325,193
38,1,-1767,3263,4
39,1,-7223,-3734,8
40,1,-7048,-3780,10
41,1,-4373,3338,12
42,1,-4419,199,25
43,0,283,-2002,194
44,1,3661,-4390,113
45,0,-11112,-3435,79
46,0,-986,-547,-3
47,0,-12418,235,1
48,1,5068,-337,367
49,1,7458,-2487,462
50,0,0,0,0
51,0,0,0,0
52,1,6799,-4742,701
53,1,6813,-4611,710
54,1,-4203,3284,-12
55,1,-3147,-2842,34
56,0,-10456,-3279,21
57,1,8701,991,14
58,1,3374,996,5
59,30,574,-46,37
60,30,-1335,-319,90
61,1,2302,-2524,104
62,1,7793,-2403,489
63,1,7787,-2404,489
64,1,2721,-3880,100
65,1,6205,-1949,571
66,0,931,-1430,64
67,0,2271,-5340,87
68,0,2327,-5286,81
69,1,7470,-2123,492
70,0,-7504,-2187,165
71,0,-8364,-2738,185
72,1,-6811,836,49
73,1,-6761,772,88
74,0,-6552,-1168,309
75,0,-6554,-1100,309
76,0,-635,-4720,5
77,1,-2380,-1882,95
78,0,3133,-3399,139
79,1,-6113,-1142,-187
80,1,-894,-3773,11
81,131074,0,0,0
84,0,2998,-3050,117
85,0,3109,-4285,109
86,0,2499,-4742,93
87,0,1857,-3658,143
