ID,DisplayType,ItemDisplayInfoID,DefaultIconFileDataID,UiOrder
44731,0,190696,133118,4473100
44735,1,190700,135060,4473500
44736,3,190701,132627,4473600
44737,7,190702,132615,4473700
44738,8,190703,132960,4473800
44739,4,190704,132507,4473900
44740,5,190705,134581,4474000
44741,6,190706,132587,4474100
44742,0,190707,133135,4474200
44743,1,190708,135033,4474300
44744,3,190709,135005,4474400
44745,4,190710,132495,4474500
44746,5,190711,134581,4474600
44747,6,190712,132539,4474700
44748,7,190713,132606,4474800
44749,8,190714,132961,4474900
44750,0,190715,133117,4475000
44751,1,190716,135039,4475100
44752,3,190717,132736,4475200
44753,4,190718,132493,4475300
44754,5,190719,134706,4475400
44755,6,190720,132592,4475500
44756,7,190721,132607,4475600
44757,8,190722,132939,4475700
44758,0,190723,132768,4475800
44759,1,190724,135038,4475900
44760,3,190725,132635,4476000
44761,4,190726,132498,4476100
44762,5,190727,134589,4476200
44763,6,190728,132541,4476300
44764,7,190729,132603,4476400
44765,8,190730,132959,4476500
44766,9,190731,133758,4476600
44767,9,190732,133766,4476700
44768,9,190733,133756,4476800
44769,9,190734,133763,4476900
45701,2,5661,132759,0
45702,11,1542,135274,0
45703,11,472,135145,0
45704,11,5194,133478,0
45705,11,8483,132402,0
45706,2,6048,135009,0
45707,5,6050,134582,0
45708,6,6051,132540,0
45709,6,6060,132535,0
45710,5,1882,134582,0
45711,2,3265,135005,0
45712,6,9767,132539,0
45713,5,5341,134582,0
45714,2,9906,135009,0
45715,6,7081,132538,0
45716,5,5848,134582,0
45717,2,8370,135005,0
45718,6,6077,132543,0
45719,3,10455,132664,0
45720,3,10456,132665,0
45721,6,3261,132535,0
45722,3,15441,132724,0
45723,5,5654,134706,0
45724,5,7643,134589,0
45725,6,7180,132543,0
45726,3,10888,135011,0
45728,5,10006,134582,0
45729,6,10008,132539,0
45730,2,9031,135011,0
45731,6,5633,132540,0
45732,5,8003,134582,0
45733,6,9992,132538,0
45734,13,2080,134951,0
45735,5,5632,134582,0
45736,2,5447,135005,0
45737,5,8740,134582,0
45738,2,8738,133766,0
45739,11,5279,133476,0
45740,3,7777,135022,0
45741,5,9970,134592,0
45742,6,10052,132539,0
45743,3,2499,135006,0
45744,5,2308,134592,0
45745,6,10287,132539,0
45746,8,3218,132955,0
45747,5,7947,134706,0
45748,6,10872,132540,0
45749,3,10150,132725,0
45750,5,4265,134586,0
45751,6,14283,132537,0
45752,8,9785,132955,0
45753,3,6558,132631,0
45754,5,3409,134583,0
45755,6,4734,132535,0
45756,11,20190,135317,0
45757,7,8147,132610,0
45758,8,10890,132961,0
45759,8,12774,132952,0
45760,8,2951,132938,0
45761,8,11393,132940,0
45762,8,2368,132939,0
45763,11,26577,135274,0
45764,10,3865,132483,0
45765,11,20094,135346,0
45766,11,20218,135312,0
45767,11,1379,134708,0
45768,7,17007,132607,0
45769,11,19621,133482,0
45770,11,20443,135145,0
45771,11,1383,132392,0
45772,11,2743,135638,0
45773,11,1682,134708,0
45774,11,19644,133046,0
45775,11,4801,135323,0
45776,11,19699,133045,0
45777,11,19401,132405,0
45778,11,20334,135139,0
45779,6,10295,132579,0
45780,8,2186,132952,0
45781,5,2185,134591,0
45782,3,3900,135014,0
45783,6,2094,132543,0
45784,8,2359,132952,0
45785,5,2176,134589,0
45786,3,2106,132760,0
45787,11,20033,135329,0
45788,11,19726,133048,0
45789,11,19137,132398,0
45790,11,15990,135166,0
45791,11,2710,135637,0
45792,11,6470,135637,0
45793,3,1990,135011,0
45794,11,19271,132392,0
45795,11,2038,133476,0
45796,4,3394,132492,0
45797,3,5730,135010,0
45798,5,5731,134594,0
45799,8,7504,132952,0
45800,6,10908,132539,0
45801,6,3713,132592,0
45802,8,2101,132939,0
45803,5,5441,134706,0
45804,3,14271,132760,0
45805,3,1019,132624,0
45806,5,697,134583,0
45807,6,1020,132535,0
45808,8,510,132938,0
45809,11,2780,135346,0
45810,11,5208,133490,0
45811,11,22102,132402,0
45812,11,2943,135154,0
45813,2,9880,135006,0
45814,6,3443,132539,0
45815,11,19213,132399,0
45816,11,26579,135328,0
45817,11,5212,133478,0
45818,11,20357,135145,0
45819,8,3993,132940,0
45820,11,19713,133488,0
45821,11,5163,135326,0
45822,11,33458,132393,0
45823,11,19235,132408,0
45824,11,19242,135419,0
45825,11,20298,135150,0
45826,13,1680,134955,0
45827,11,20382,135162,0
45828,11,8494,132405,0
45829,11,20093,135327,0
45830,8,3524,132947,0
45831,11,20386,135141,0
45832,8,7816,132938,0
45833,7,6165,132604,0
45834,11,6456,134298,0
45835,1,1057,135039,0
45836,1,1058,135039,0
45837,1,2953,135033,0
45838,1,1060,135033,0
45839,1,1068,135033,0
45840,11,28628,133476,0
45841,11,20170,135311,0
45842,3,1727,132624,0
45843,11,19703,133486,0
45844,11,22097,135280,0
45845,11,20110,135324,0
45846,11,22131,133044,0
45847,11,2861,133476,0
45848,11,22108,135423,0
45849,11,22151,135157,0
45850,11,19405,132405,0
45851,11,8272,135327,0
45852,11,5215,133729,0
45853,11,20329,135150,0
45854,3,16676,132667,0
45855,11,20256,135166,0
45856,11,20253,135144,0
45857,11,859,135274,0
45858,4,4878,133694,0
45859,11,1550,135274,0
45860,11,8583,133045,0
45861,11,20440,135154,0
45862,11,19273,132395,0
45863,11,1121,135274,0
45864,11,7453,133942,0
45865,6,703,132592,0
45866,15,7469,133729,0
45867,11,20327,135143,0
45868,11,19643,133476,0
45869,11,1716,135145,0
45870,11,679,135274,0
45871,0,1166,134955,0
45872,0,1170,134442,0
45873,13,30993,134947,0
45874,13,2456,136162,0
45875,3,10627,132665,0
45876,15,6520,135432,0
45877,6,4487,132537,0
45878,7,3311,132606,0
45879,7,6224,132609,0
45880,9,15120,133760,0
45881,11,22093,135276,0
45882,11,7495,134435,0
45883,11,22114,132395,0
45884,11,5226,133477,0
45885,11,20112,135350,0
45886,13,18663,134955,0
45887,13,1705,134950,0
45888,13,2329,134949,0
45889,13,2594,134952,0
45890,13,1644,134952,0
45891,11,5199,133490,0
45892,3,9536,132719,0
45893,7,1028,132603,0
45894,11,19625,133046,0
45895,4,10988,132498,0
45896,7,6193,132606,0
45897,11,5527,133489,0
45898,11,20122,135314,0
45899,11,3367,132405,0
45901,11,30392,132392,0
45902,11,22215,135580,0
45903,11,5530,133482,0
45904,11,20156,135302,0
45905,9,23106,133767,0
45906,3,12723,132742,0
45907,13,2210,134955,0
45908,0,15298,133132,0
45909,0,15282,133070,0
45910,11,6447,134298,0
45911,11,2767,132417,0
45912,11,4770,133481,0
45913,3,19035,132658,0
45914,4,15767,132518,0
45915,11,20391,135469,0
45916,8,1796,132951,0
45917,8,5444,132939,0
45918,7,11387,132603,0
45919,5,15673,134582,0
45920,8,17057,132947,0
45921,11,20377,135153,0
45922,11,19290,135424,0
45923,7,12741,132615,0
45924,9,23014,134354,0
45925,8,4583,132939,0
45926,8,3085,132939,0
45927,3,4589,135009,0
45928,5,8409,134586,0
45929,6,4463,132540,0
45930,8,9374,132952,0
45931,4,5728,132513,0
45932,7,5578,132609,0
45933,6,12850,132543,0
45934,9,23090,133762,0
