Id,ClassId,SubclassId,Material,InventoryType,RequiredLevel,SheatheType,RandomProperty,ItemRandomSuffixGroupId,SoundOverrideSubclassId,ScalingStatDistributionId,IconFileDataId,ItemGroupSoundsId,ContentTuningId,MaxDurability,AmmoType,DamageType1,DamageType2,DamageType3,DamageType4,DamageType5,Resistances1,Resistances2,Resistances3,Resistances4,Resistances5,Resistances6,Resistances7,MinDamage1,MinDamage2,MinDamage3,MinDamage4,MinDamage5,MaxDamage1,MaxDamage2,MaxDamage3,MaxDamage4,MaxDamage5
17,4,4,6,4,0,3,0,0,-1,0,132759,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,7,1,21,1,3,0,0,-1,0,135274,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
35,2,10,2,17,1,2,0,0,-1,0,135145,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0
36,2,4,2,21,1,3,0,0,-1,0,133478,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
37,2,0,1,21,1,3,0,0,-1,0,132402,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
38,4,0,7,4,0,0,0,0,-1,0,135009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,0,7,8,0,0,0,0,-1,0,132540,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,0,7,6,1,0,0,0,-1,0,132494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,0,7,6,1,0,0,0,-1,0,132494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,0,7,8,0,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,0,7,6,1,0,0,0,-1,0,132495,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4,0,7,8,0,0,0,0,-1,0,132539,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,0,7,4,0,0,0,0,-1,0,135009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,0,7,6,1,0,0,0,-1,0,132493,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,0,7,8,0,0,0,0,-1,0,132538,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4,0,7,6,1,0,0,0,-1,0,132493,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4,0,7,8,0,0,0,0,-1,0,132543,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4,1,7,20,1,0,0,0,-1,0,132664,7,0,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4,1,7,20,1,0,0,0,-1,0,132665,7,0,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,0,7,6,1,0,0,0,-1,0,132492,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4,0,7,8,0,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4,2,8,5,0,0,0,0,-1,0,132724,7,0,45,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4,2,8,7,0,0,0,0,-1,0,134706,7,0,35,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4,1,7,5,0,0,0,0,-1,0,135006,7,0,35,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4,1,7,7,0,0,0,0,-1,0,134589,7,0,30,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,1,7,8,0,0,0,0,-1,0,132543,7,0,20,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4,2,8,5,1,0,0,0,-1,0,135011,7,0,45,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4,0,7,6,0,0,0,0,-1,0,132493,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,4,0,7,8,0,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4,0,7,4,0,0,0,0,-1,0,135011,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4,0,7,6,1,0,0,0,-1,0,132494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,0,7,8,1,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,4,0,7,6,1,0,0,0,-1,0,132494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,4,0,7,8,1,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,4,1,7,20,1,0,0,0,-1,0,132662,7,0,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,4,0,7,6,1,0,0,0,-1,0,132493,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4,0,7,8,1,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,4,0,7,6,1,0,0,0,-1,0,132494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,4,0,7,8,1,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,4,0,7,8,1,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,4,0,7,6,1,0,0,0,-1,0,132493,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,5,0,0,1,0,0,0,-1,0,133972,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,1,3,0,1,0,0,0,-1,0,134829,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4,0,7,8,0,0,0,0,-1,0,132539,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,4,0,7,6,1,0,0,0,-1,0,132493,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4,0,7,8,1,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4,0,7,6,1,0,0,0,-1,0,132494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,4,0,7,4,0,0,0,0,-1,0,135011,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,4,0,7,8,0,0,0,0,-1,0,132540,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4,0,7,6,1,0,0,0,-1,0,132494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,4,0,7,6,1,0,0,0,-1,0,133693,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,4,0,7,8,1,0,0,0,-1,0,132536,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,4,0,7,4,0,0,0,0,-1,0,135009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,4,0,7,4,0,0,0,0,-1,0,135005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,4,0,7,8,0,0,0,0,-1,0,132535,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4,0,7,6,1,0,0,0,-1,0,132493,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,4,0,7,4,0,0,0,0,-1,0,132719,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,4,1,7,7,1,0,0,0,-1,0,134582,7,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4,0,7,8,0,0,0,0,-1,0,132538,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,4,0,7,6,1,0,0,0,-1,0,132491,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,4,6,1,14,1,4,0,0,-1,0,134951,9,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
