"ID","PathID","NodeIndex","ContinentID","LocX","LocY","LocZ","Flags","Delay"
"35","6","0","0","-8851","498","111","0","0"
"36","6","1","0","-8853","496","111","0","0"
"37","6","2","0","-8869","486","116","0","0"
"38","6","3","0","-8937","447","122","0","0"
"39","6","4","0","-9025","501","122","0","0"
"40","6","5","0","-9109","473","148","0","0"
"41","6","6","0","-9247","381","152","0","0"
"42","6","7","0","-9328","433","130","0","0"
"43","6","8","0","-9380","432","78","0","0"
"44","6","9","0","-9451","386","56","0","0"
"45","6","10","0","-9524","368","53","0","0"
"46","6","11","0","-9601","407","52","0","0"
"47","6","12","0","-9686","469","40","0","0"
"48","6","13","0","-9734","552","39","0","0"
"2918","6","14","0","-9742","621","37","0","0"
"2919","6","15","0","-9790","641","44","0","0"
"2920","6","16","0","-9847","632","44","0","0"
"2921","6","17","0","-9941","634","44","0","0"
"2922","6","18","0","-10000","691","38","0","0"
"2923","6","19","0","-10034","787","31","0","0"
"2924","6","20","0","-10054","872","42","0","0"
"2925","6","21","0","-10139","931","46","0","0"
"2926","6","22","0","-10255","986","39","0","0"
"2927","6","23","0","-10310","1070","51","0","0"
"2928","6","24","0","-10364","1112","43","0","0"
"2929","6","25","0","-10489","1100","59","0","0"
"2930","6","26","0","-10588","1075","47","0","0"
"2931","6","27","0","-10629","1039","37","0","0"
"68","7","0","0","-10628","1040","35","0","0"
"69","7","1","0","-10627","1043","35","0","0"
"70","7","2","0","-10624","1055","37","0","0"
"71","7","3","0","-10609","1097","43","0","0"
"72","7","4","0","-10504","1142","52","0","0"
"73","7","5","0","-10424","1068","58","0","0"
"74","7","6","0","-10308","1046","58","0","0"
"75","7","7","0","-10210","931","58","0","0"
"76","7","8","0","-10184","811","43","0","0"
"77","7","9","0","-10197","634","30","0","0"
"78","7","10","0","-10174","554","29","0","0"
"79","7","11","0","-10100","513","32","0","0"
"80","7","12","0","-9946","506","37","0","0"
"81","7","13","0","-9881","524","37","0","0"
"82","7","14","0","-9814","523","37","0","0"
"83","7","15","0","-9756","540","43","0","0"
"84","7","16","0","-9709","517","45","0","0"
"85","7","17","0","-9690","464","40","0","0"
"86","7","18","0","-9599","406","44","0","0"
"87","7","19","0","-9534","366","60","0","0"
"88","7","20","0","-9466","373","60","0","0"
"89","7","21","0","-9380","433","76","0","0"
"90","7","22","0","-9279","422","159","0","0"
"91","7","23","0","-9127","269","162","0","0"
"92","7","24","0","-9039","381","145","0","0"
"2934","7","25","0","-8918","423","132","0","0"
"2935","7","26","0","-8833","479","112","0","0"
"119","8","0","0","-9433","-2238","70","0","0"
"120","8","1","0","-9436","-2240","71","0","0"
"121","8","2","0","-9445","-2244","74","0","0"
"122","8","3","0","-9471","-2250","81","0","0"
"123","8","4","0","-9507","-2244","97","0","0"
"124","8","5","0","-9543","-2197","101","0","0"
"125","8","6","0","-9606","-2086","77","0","0"
"126","8","7","0","-9555","-2000","80","0","0"
"127","8","8","0","-9632","-1875","84","0","0"
