"Message","PositionX","PositionY","PositionZ","Id","MapId","PhaseUseFlags","PhaseId","PhaseGroupId","Radius","BoxLength","BoxWidth","BoxHeight","BoxYaw","ShapeType","ShapeId","ActionSetId","Flags"
"","16299.2","16277.3","73.9723","2146","0","0","0","0","0","41.28","4.667","9.306","0","1","0","0","0"
"","16304.2","16318.1","69.4444","2416","451","0","0","0","0","22.83","7.667","25.67","2.601","1","0","0","0"
"","-1510.09","-715.864","48.8774","2606","30","0","0","0","0","9.556","14.06","16.17","0.7225","1","0","0","0"
"","946.833","-500.092","94.9295","2608","30","0","0","0","0","8.667","18.31","24.31","1.134","1","0","0","0"
"","1539.89","1481.36","352.659","3646","489","0","0","0","5","0.3333","0.3333","0.3333","0","0","0","0","0"
"","918.496","1434.04","346.054","3647","489","0","0","0","5","0.3333","0.3333","0.3333","0","0","0","0","0"
"","1125.23","1541.5","307.392","3688","489","0","0","0","0","0.2778","0.2778","0.2778","0","1","0","0","0"
"","1394.36","1303.64","-8.02586","3948","529","0","0","0","0","7.306","16.89","17.64","0.3665","1","0","0","0"
"","627.192","699.957","-11.9921","3949","529","0","0","0","0","7.889","14.22","17.28","3.334","1","0","0","0"
"","7763.33","-4010.72","694.28","4085","1","0","0","0","95","0","0","0","0","0","0","0","0"
"","3292.74","-3151.59","297.569","4086","533","0","0","0","10","0","0","0","0","0","0","0","0"
"","3291.11","-3151.29","297.58","4087","533","0","0","0","100","0","0","0","0","0","0","0","0"
"","3321.29","-3119.88","297.57","4088","533","0","0","0","90","0","0","0","0","0","0","0","0"
"","3320.94","-3119.12","297.573","4097","533","0","0","0","100","0","0","0","0","0","0","0","0"
"","3493.45","-5375.38","138.168","4120","533","0","0","0","50","0","0","0","0","0","0","0","0"
"","3320.73","-3115.07","297.609","4163","533","0","0","0","100","0.2778","0.2778","0.2778","0","0","0","0","0"
"","3310.22","-2990.24","294.661","4166","533","0","0","0","100","0.2778","0.2778","0.2778","0","0","0","0","0"
"","3498.16","-5349.03","144.968","4167","533","0","0","0","50","0","0","0","0","0","0","0","0"
"","2661.04","-3467.17","262.142","4177","533","0","0","0","90","0","0","0","0","0","0","0","0"
"","3374.04","-3059.25","294.662","4180","533","0","0","0","0","26.61","41.94","41.89","0","1","0","0","0"
"","2793.96","-3707.18","276.542","4184","533","0","0","0","21","0.2778","0.2778","0.2778","0","0","0","0","0"
"","-39.7382","18.2837","-0.41246","4192","544","0","0","0","20","0","0","0","0","0","0","0","0"
"","-13.6303","27.318","-0.412483","4193","544","0","0","0","20","0","0","0","0","0","0","0","0"
"","7.1818","1.7201","-0.404406","4194","544","0","0","0","20","0","0","0","0","0","0","0","0"
"","-11.5727","-25.5583","-0.412465","4195","544","0","0","0","20","0","0","0","0","0","0","0","0"
"","-20.7142","-0.352886","-0.4054","4196","544","0","0","0","10","0","0","0","0","0","0","0","0"
"","281.84","-84.5664","2.11907","4246","540","0","0","0","8","0.2778","0.2778","0.2778","0","0","0","0","0"
"","-274.726","2804.73","-39.5135","4253","530","0","0","0","0","9.278","9.111","8.222","0","1","0","0","0"
"","2541.94","-4785.32","117.451","4294","0","0","0","0","80","0","0","0","0","0","0","0","0"
"","-7376.84","447.272","4.52045","4299","1","0","0","0","60","0","0","0","0","0","0","0","0"
"","304.738","6839.75","40.3948","4342","530","0","0","0","60","0.2778","0.2778","0.2778","0","0","0","0","0"
"","-247.677","895.675","84.3622","4352","530","0","0","0","0","72.83","6.611","53.81","0","1","0","0","0"
"","-11908.9","-3209.1","-14.7905","4354","0","0","0","0","0","3.833","15.47","25.83","3.281","1","0","0","0"
"","-3279.52","6024.61","-1.30747","4368","530","0","0","0","80","0","0","0","0","0","0","0","0"
"","-3080.82","5334.56","17.2728","4387","530","0","0","0","100","0.2778","0.2778","0.2778","0","0","0","0","0"
"","-85.9336","-490.414","-1.58249","4411","547","0","0","0","0","0.3333","0.3333","0.3333","0","1","0","0","0"
"","2048.48","1393.6","1194.54","4476","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","-3836.72","2499.78","84.6906","4496","530","0","0","0","15","0.2778","0.2778","0.2778","0","0","0","0","0"
"","2048.47","1393.59","1194.54","4512","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","2044","1729.73","1190.03","4514","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","2043.95","1729.78","1190.04","4515","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","2284.78","1731.12","1190.08","4516","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","2284.77","1731.11","1190.08","4517","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","2286.56","1402.36","1197.29","4518","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","2286.56","1402.34","1197.29","4519","566","0","0","0","3","0","0","0","0","0","0","0","0"
"","1807.71","1539.58","1268","4530","566","0","0","0","28","0.2778","0.2778","0.2778","0","0","0","0","0"
"","2523.48","1596.56","1269","4531","566","0","0","0","28","0","0","0","0","0","0","0","0"
"","483.441","233.694","0.253047","4575","540","0","0","0","100","0.2778","0.2778","0.2778","0","0","0","0","0"
"","706.4","305.061","353.803","4648","564","0","0","0","50","0.2778","0.2778","0.2778","0","0","0","0","0"
"","678.185","285.959","355.901","4649","564","0","0","0","30","0","0","0","0","0","0","0","0"
"","676.404","323.603","355.509","4650","564","0","0","0","30","0","0","0","0","0","0","0","0"
"","39","-418","-19.5067","4652","548","0","0","0","25","0.2778","0.2778","0.2778","0","0","0","0","0"
"","677.052","323.685","355.549","4653","564","0","0","0","30","0","0","0","0","0","0","0","0"
"","676.522","286.521","355.587","4654","564","0","0","0","30","0","0","0","0","0","0","0","0"
"","639.987","306.817","353.287","4655","564","0","0","0","1","0","0","0","0","0","0","0","0"
"","676.887","286.488","355.601","4656","564","0","0","0","30","0","0","0","0","0","0","0","0"
"","677.574","323.976","355.704","4657","564","0","0","0","30","0","0","0","0","0","0","0","0"
"","-295.779","-119.649","-7.8203","4674","545","0","0","0","150","0.2778","0.2778","0.2778","0","0","0","0","0"
"","760.824","237.677","353.308","4760","564","0","0","0","0","0.2778","0.2778","0.2778","0","1","0","0","0"
"","-34.4559","1089.49","18.7115","4782","568","0","0","0","35","0.2778","0.2778","0.2778","0","0","0","0","0"
"","-1664.25","8170.78","-24.0938","4794","530","0","0","0","10","0","0","0","0","0","0","0","0"
